student_id,gender,school_type,parent_edu,prior_gpa,attendance_pct,quiz_avg,assign_avg,midterm,study_hours_wk,on_time_submit_pct,lms_logins_wk,forum_posts,commute_min,final_score,grade_band,passed
S0000,M,Public,Bachelor,3.84,68.8,59.5,69.8,59.8,15.8,88.3,10.8,1,21.1,71.9,B,1
S0001,F,Public,Bachelor,3.0,78.1,50.6,73.0,56.1,13.4,60.7,4.6,4,23.8,64.5,C,1
S0002,F,Charter,High School,2.59,75.8,45.5,64.5,40.8,8.6,73.2,4.7,4,45.0,59.7,D,1
S0003,F,Public,Bachelor,3.06,71.4,60.9,39.6,50.5,10.1,73.2,6.2,4,31.7,59.3,D,1
S0004,M,Charter,Bachelor,2.72,83.5,82.5,52.0,76.1,8.0,41.4,3.7,6,41.1,70.5,B,1
S0005,M,Public,Master,2.69,73.5,61.6,60.3,54.0,6.8,75.0,2.1,1,22.8,60.1,C,1
S0006,M,Private,High School,3.22,77.6,45.5,61.6,50.4,8.6,94.6,5.4,5,13.1,69.0,C,1
S0007,F,Charter,Bachelor,2.2,55.6,39.9,50.4,44.8,5.4,70.7,1.1,0,44.6,47.7,F,0
S0008,F,Public,Master,2.28,67.8,45.2,47.4,77.0,11.6,81.3,3.4,1,20.1,53.7,D,1
S0009,F,Public,Master,3.01,71.8,49.9,48.8,51.8,5.9,80.2,4.2,4,26.8,63.6,C,1
S0010,M,Public,Master,2.99,74.0,54.8,79.8,42.4,9.6,74.4,6.5,6,31.4,67.9,C,1
S0011,F,Private,Master,3.17,66.2,61.4,61.5,47.1,11.8,72.9,2.6,3,12.6,59.2,D,1
S0012,F,Private,PhD,3.94,80.4,74.5,74.5,71.4,11.9,74.0,8.3,8,8.8,59.9,D,1
S0013,M,Private,Bachelor,3.05,64.0,67.0,60.2,38.6,10.5,91.6,5.9,5,20.7,64.7,C,1
S0014,M,Public,Bachelor,3.3,55.8,60.7,60.4,60.8,5.7,91.8,4.8,2,34.7,61.3,C,1
S0015,M,Public,High School,2.51,73.1,35.2,58.1,36.4,11.0,71.8,4.7,1,32.6,53.2,D,1
S0016,M,Public,High School,3.38,61.8,47.4,51.6,30.2,13.9,59.5,6.3,3,5.0,63.4,C,1
S0017,F,Public,High School,2.74,68.2,53.4,45.4,39.0,7.7,83.0,5.2,6,55.6,49.7,F,0
S0018,M,Private,High School,3.04,73.0,60.1,65.3,54.3,6.5,69.5,5.8,6,30.5,58.8,D,1
S0019,M,Charter,High School,2.95,72.1,66.3,62.8,71.8,11.2,81.2,4.5,6,18.9,61.1,C,1
S0020,F,Private,High School,3.52,72.9,62.7,73.1,68.0,7.6,66.7,4.6,1,20.1,82.8,A,1
S0021,M,Public,High School,2.35,65.6,51.8,62.8,44.9,3.4,74.6,1.6,2,24.6,60.8,C,1
S0022,M,Charter,PhD,1.86,62.4,49.0,45.3,57.0,4.3,67.0,1.2,1,25.1,52.6,D,1
S0023,M,Private,High School,2.89,74.8,55.6,71.5,47.8,13.1,50.0,5.9,4,43.0,54.9,D,1
S0024,M,Charter,Master,3.23,86.2,65.0,72.5,38.6,11.9,100.0,6.4,5,59.5,61.7,C,1
S0025,F,Private,High School,3.08,72.6,70.1,68.2,56.9,7.4,76.9,6.7,3,16.9,71.3,B,1
S0026,M,Public,PhD,3.62,76.7,63.3,86.3,39.6,6.4,83.0,8.3,7,15.1,73.2,B,1
S0027,F,Public,Master,3.22,64.9,57.3,79.7,63.7,10.0,88.6,4.6,0,22.6,67.5,C,1
S0028,F,Private,Bachelor,2.72,70.7,55.3,65.7,60.8,8.6,76.6,7.7,4,5.8,55.9,D,1
S0029,M,Public,Bachelor,1.84,63.7,59.9,57.9,37.3,4.1,72.7,1.4,2,38.7,56.3,D,1
S0030,F,Public,High School,2.88,67.3,44.7,69.5,51.1,13.9,65.1,3.2,5,28.4,70.3,B,1
S0031,M,Private,PhD,3.51,79.5,82.0,60.7,63.4,10.7,83.4,6.5,1,24.7,76.3,B,1
S0032,M,Private,Master,2.8,65.7,43.0,53.8,59.0,1.4,55.1,5.0,0,5.0,52.1,D,1
S0033,F,Private,Master,3.01,75.5,52.7,68.2,37.1,7.8,77.3,3.1,3,5.0,69.1,C,1
S0034,F,Public,Bachelor,3.21,79.4,69.3,56.4,64.3,11.2,99.4,4.7,2,18.4,69.9,C,1
S0035,F,Public,Bachelor,2.49,72.1,64.6,63.7,36.6,8.1,56.9,2.3,2,37.5,67.3,C,1
S0036,M,Private,Master,3.31,74.1,47.0,65.1,61.4,9.7,78.9,5.6,4,5.0,63.6,C,1
S0037,M,Charter,High School,3.82,69.9,52.7,58.2,68.8,11.2,62.7,8.1,8,34.3,79.4,B,1
S0038,F,Private,Bachelor,2.91,64.2,57.9,59.6,44.8,2.7,79.2,3.8,5,20.9,56.3,D,1
S0039,M,Charter,High School,2.44,69.1,76.4,69.2,69.7,7.0,79.9,4.2,3,15.4,63.3,C,1
S0040,M,Private,PhD,2.97,89.3,75.5,65.4,38.6,7.9,84.3,1.6,1,26.4,71.6,B,1
S0041,F,Private,High School,1.89,56.2,42.5,52.3,57.0,5.3,61.7,3.5,1,11.1,48.4,F,0
S0042,M,Public,High School,3.17,75.3,36.2,66.0,65.9,11.1,56.0,4.0,3,5.0,65.6,C,1
S0043,F,Private,Bachelor,3.23,67.8,59.4,66.1,58.9,13.6,67.4,4.1,1,42.0,61.9,C,1
S0044,M,Private,Master,3.84,70.6,67.6,63.2,57.5,9.5,100.0,7.4,8,20.1,66.2,C,1
